grado	Quiz_Name	Class	Key	Question_Number	Primary_Answer	# Correct	% Correct	Discriminant Factor	Response 1	Response 1 %	Response 2	Response 2 %	Response 3	Response 3 %	Response 4	Response 4 %		Grado	Pregunta	Asignatura	Texto de la Pregunta	Opción A	Opción B	Opción C	Opción D
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	1	A	55	77.46	0.239	A	77.46	D	11.27	B	9.86		1.41		3	1	MATEMÁTICAS 	Mario compró para su entrenamiento 15 pesas que debe ubicar en el soporte, observa                                                                                                              ¿Cuántas pesas le falta ubicar a Mario en el soporte?	7	6	4	3
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	2	A	43	60.56	0.341	A	60.56	C	14.08	D	14.08	B	9.86		3	2	MATEMÁTICAS 	Sara organizó su dinero en 3 montones. En cada montón puso un billete de $2.000 y un billete de $5.000.	6,000	$ 15,000	$ 21,000	$ 42,000
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	3	C	45	63.38	0.426	C	63.38	B	14.08	A	14.08	D	5.63		3	3	MATEMÁTICAS 	Una profesora preguntó a los estudiantes de dos cursos sobre el sabor de torta preferido. Observa los resultados. La profesora va a preparar una torta del sabor que más votos tenga. Teniendo en cuenta las respuestas de los dos cursos, ¿de qué sabor debe ser la torta?	Pera	Coco	Fresa 	Manzana
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	4	D	42	59.15	0.416	D	59.15	B	16.9	C	14.08	A	8.45		3	4	MATEMÁTICAS 	En una actividad deportiva participan cuatro equipos: Se va a premiar al equipo que haya ganado la mayor cantidad de partidos. La tabla muestra el equipo ganador en cada partido.	zorro	Tigres	conejos 	osos
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	5	D	58	81.69	0.589	D	81.69	C	5.63	A	5.63	B	4.23		3	5	MATEMÁTICAS 	En un almacén de ropa venden 6 tipos de prendas. La tabla muestra la cantidad de unidades vendidas de 3 tipos de prendas en el último mes.  La gráfica muestra la cantidad de unidades vendidas de los otros 3 tipos de prendas en el último mes 	Las camisas 	Las faldas 	Las correas 	Los sombreros 
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	6	C	46	64.79	0.4	C	64.79	A	19.72	B	11.27	D	2.82		3	6	MATEMÁTICAS 	Juliana compró en el supermercado un paquete con 8 yogures. En la imagen se observan los sabores de los yogures. Si Juliana saca del paquete un yogur sin mirar, ¿cuál sabor es imposible que le salga?	Uva 	Fresa	Mora 	Melocotón
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	7	C	38	53.52	0.073	C	53.52	A	21.13	B	14.08	D	9.86		3	7	MATEMÁTICAS 	Un profesor realizó un concurso de baloncesto con cuatro estudiantes. Observa las cestas que hizo cada estudiante El profesor ordenó los estudiantes desde el que más hizo cestas hasta el que menos hizo.  ¿Cuál estudiante ocupó el tercer puesto del concurso?	Valentina 	Samuel 	Mónica 	Ricardo
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	8	B	43	60.56	0.255	B	60.56	D	26.76	A	8.45	C	4.23		3	8	MATEMÁTICAS 	8. Observa la figura de una hoja rectangular a la que le recortaron una parte. ¿Cuál es la parte que recortaron de la hoja? 				
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	9	B	46	64.79	0.427	B	64.79	C	12.68	D	12.68	A	8.45		3	9	MATEMÁTICAS 	Por la compra de una boleta, Liliana puede participar en un concurso en el que debe escoger una caja y, de ella, extraer una tarjeta. Si la tarjeta es amarilla, Liliana gana otra boleta. Observa el contenido de cada caja.  ¿Cuál caja debe escoger Liliana para que sea seguro que gane otra boleta?	Caja 1	Caja 2	Caja 3	Caja 4
3	EVALUÁNDONOS 3 FINAL 2025	3-01, 3PJ, 3PU, 3S, 3Y	Primary Key 	10	D	48	67.61	0.46	D	67.61	C	12.68	A	9.86	B	8.45		3	10	MATEMÁTICAS 	Un grupo de niños está haciendo una fila para ingresar a una obra de teatro. Observa ¿Quién está dos puestos adelante de Santiago?	Pilar	Milena	Estiven 	Simón 
